from_station_id,from_station_name,to_station_id,to_station_name,train_count,sample_trains
1001,上海,1003,上海虹桥,3,"G7317,G7319,G7359"
1001,上海,1004,南京,1,Z196
1001,上海,1005,南京南,5,"D952,G12,G130,G18,G7252"
1001,上海,1006,南通,4,"C3802,C3806,C3810,C3818"
1001,上海,1007,南通西,9,"C3852,C3856,C3860,C3864,C3868..."
1001,上海,1009,常州,2,"G7060,G7232"
1001,上海,1010,常州北,1,G7256
1001,上海,1014,盐城,1,G8292
1001,上海,1015,苏州,112,"1228,1462,D306,D310,D710..."
1001,上海,1016,苏州北,8,"G222,G416,G442,G6,G7290..."
1001,上海,1028,金华,1,Z99
1002,上海南,1003,上海虹桥,4,"D3022,D3060,D3068,D3072"
1002,上海南,1015,苏州,11,"K1092,K1512,K1806,K336,K470..."
1002,上海南,1022,杭州,17,"D5401,D5403,D5405,D5407,D5409..."
1002,上海南,1023,杭州东,8,"D5483,D5485,D771,K1185,K1373..."
1002,上海南,1024,杭州南,26,"K111,K123,K1371,K1511,K287..."
1003,上海虹桥,1001,上海,3,"G7318,G7358,G7360"
1003,上海虹桥,1002,上海南,2,"D3070,D3074"
1003,上海虹桥,1004,南京,1,D706
1003,上海虹桥,1005,南京南,26,"G10,G104,G114,G1214,G124..."
1003,上海虹桥,1006,南通,8,"C3706,C3714,C3718,C3722,C3730..."
1003,上海虹桥,1007,南通西,17,"C3772,C3792,C3796,C3798,D2206..."
1003,上海虹桥,1009,常州,3,"D636,G7118,G9232"
1003,上海虹桥,1010,常州北,16,"G120,G1236,G150,G160,G170..."
1003,上海虹桥,1012,徐州东,1,C3752
1003,上海虹桥,1015,苏州,55,"D2212,D2282,D3006,D3010,D3014..."
1003,上海虹桥,1016,苏州北,66,"G106,G110,G112,G116,G1204..."
1003,上海虹桥,1020,嘉兴南,108,"D2281,D2283,D2285,D2287,D3062..."
1003,上海虹桥,1022,杭州,2,"D781,G7391"
1003,上海虹桥,1023,杭州东,40,"D3101,D3103,D5458,D5464,D918..."
